City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Port Alfred,-33.5906,26.891,73.04,91,90,12.35,ZA,1643860658
Piaçabuçu,-10.4056,-36.4344,77.9,78,56,7.09,BR,1643860658
Puerto Ayora,-0.7393,-90.3518,74.55,92,1,4.0,EC,1643860658
Punta Arenas,-53.15,-70.9167,44.42,70,75,4.61,CL,1643860659
Port Elizabeth,-33.918,25.5701,70.09,88,40,12.66,ZA,1643860659
Toguchin,55.2353,84.3858,6.03,100,100,3.69,RU,1643860440
Atuona,-9.8,-139.0333,78.71,75,100,17.58,PF,1643860659
Hermanus,-34.4187,19.2345,63.81,81,0,14.25,ZA,1643860660
Vanderhoof,54.0166,-124.0198,11.64,97,100,1.48,CA,1643860660
Ilulissat,69.2167,-51.1,-9.6,67,100,10.76,GL,1643860660
Nome,64.5011,-165.4064,9.16,67,36,26.66,US,1643860661
Bredasdorp,-34.5322,20.0403,63.28,82,0,6.53,ZA,1643860661
Norman Wells,65.282,-126.8329,-25.56,68,75,8.05,CA,1643860546
Meulaboh,4.1363,96.1285,84.85,65,24,3.09,ID,1643860661
Lagoa,39.05,-27.9833,57.31,73,2,2.13,PT,1643860662
Hobart,-42.8794,147.3294,62.49,55,40,23.02,AU,1643860531
Albany,42.6001,-73.9662,37.87,81,100,3.31,US,1643860570
Busselton,-33.65,115.3333,88.05,31,87,8.79,AU,1643860662
Ust-Nera,64.5667,143.2,-6.56,99,100,2.46,RU,1643860663
Bluff,-46.6,168.3333,57.79,61,100,17.05,NZ,1643860663
Burnie,-41.0667,145.9167,70.95,50,74,11.52,AU,1643860376
Qarqīn,37.4185,66.0436,45.27,75,6,10.42,AF,1643860664
Fuling,29.7022,107.3919,47.89,65,40,1.63,CN,1643860664
Rikitea,-23.1203,-134.9692,77.94,76,66,10.22,PF,1643860664
Lebu,-37.6167,-73.65,58.17,95,66,8.1,CL,1643860665
Cherskiy,68.75,161.3,-19.46,82,82,2.98,RU,1643860662
Dafeng,23.4517,108.5881,48.88,66,98,7.2,CN,1643860665
Presque Isle,46.6811,-68.0159,37.6,84,100,3.0,US,1643860665
Vagay,57.9375,69.0217,8.55,97,87,4.81,RU,1643860666
Bintulu,3.1667,113.0333,86.92,74,40,5.01,MY,1643860666
Barinas,8.6226,-70.2075,69.84,83,39,3.44,VE,1643860667
Qaanaaq,77.484,-69.3632,-10.25,81,100,6.62,GL,1643860667
Grande Prairie,55.1667,-118.8027,-2.02,84,100,3.44,CA,1643860573
Butaritari,3.0707,172.7902,81.59,79,100,15.59,KI,1643860667
Paamiut,61.994,-49.6678,22.91,76,100,21.63,GL,1643860668
Saint Paul Harbor,57.79,-152.4072,38.71,87,100,12.66,US,1643860593
Chui,-33.6971,-53.4616,70.32,90,1,10.89,UY,1643860668
Auki,-8.7676,160.7034,78.33,89,99,10.07,SB,1643860669
Inhambane,-23.865,35.3833,76.1,83,15,1.12,MZ,1643860669
Thompson,55.7435,-97.8558,-14.64,76,0,11.5,CA,1643860669
Cape Town,-33.9258,18.4232,64.17,88,40,5.75,ZA,1643860569
Hailar,49.2,119.7,-9.69,89,39,4.34,CN,1643860670
